position,trackname,artist,streams,url,date
1,rockstar,Post Malone,2556832,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,9/23/2017
1,HUMBLE.,Kendrick Lamar,3144482,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/20/2017
1,rockstar,Post Malone,2650857,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,10/13/2017
1,Despacito - Remix,Luis Fonsi,1604006,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/4/2017
1,HUMBLE.,Kendrick Lamar,2128701,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,5/24/2017
1,rockstar,Post Malone,1312988,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,1/7/2018
1,Despacito - Remix,Luis Fonsi,1421707,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/12/2017
1,Despacito - Remix,Luis Fonsi,1420085,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/13/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1429451,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/16/2017
1,Shape of You,Ed Sheeran,1854260,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,3/5/2017
1,Despacito - Remix,Luis Fonsi,1339620,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/19/2017
1,HUMBLE.,Kendrick Lamar,2807818,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/26/2017
1,Despacito - Remix,Luis Fonsi,1438895,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/2/2017
1,Shape of You,Ed Sheeran,1478465,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,1/26/2017
1,Shape of You,Ed Sheeran,1990545,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,3/9/2017
1,rockstar,Post Malone,2438535,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,10/25/2017
1,rockstar,Post Malone,1669901,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,12/12/2017
1,Bank Account,21 Savage,1201874,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,8/19/2017
1,HUMBLE.,Kendrick Lamar,2840606,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/28/2017
1,HUMBLE.,Kendrick Lamar,2207113,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/5/2017
1,rockstar,Post Malone,1885855,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/12/2017
1,Look What You Made Me Do,Taylor Swift,1369307,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR,9/3/2017
1,rockstar,Post Malone,2360185,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/3/2017
1,HUMBLE.,Kendrick Lamar,1819746,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,6/6/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1473415,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/19/2017
1,HUMBLE.,Kendrick Lamar,2836597,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/22/2017
1,HUMBLE.,Kendrick Lamar,2050936,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,5/14/2017
1,Shape of You,Ed Sheeran,1605245,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2/15/2017
1,Shape of You,Ed Sheeran,1517787,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,1/6/2017
1,HUMBLE.,Kendrick Lamar,2228482,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/7/2017
1,rockstar,Post Malone,1471088,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,12/17/2017
1,Despacito - Remix,Luis Fonsi,1786073,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,6/16/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1371493,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/1/2017
1,HUMBLE.,Kendrick Lamar,3394456,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/18/2017
1,HUMBLE.,Kendrick Lamar,2072628,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/12/2017
1,...Ready For It?,Taylor Swift,1597419,https://open.spotify.com/track/7zgqtptZvhf8GEmdsM2vp2,9/5/2017
1,HUMBLE.,Kendrick Lamar,2169733,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,5/7/2017
1,Shape of You,Ed Sheeran,1720875,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,3/13/2017
1,Bank Account,21 Savage,1142883,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,8/7/2017
1,rockstar,Post Malone,1677940,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,12/3/2017
1,HUMBLE.,Kendrick Lamar,2307200,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/4/2017
1,rockstar,Post Malone,2095779,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/17/2017
1,Despacito - Remix,Luis Fonsi,1486814,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/5/2017
1,Passionfruit,Drake,2445696,https://open.spotify.com/track/7hDc8b7IXETo14hHIHdnhd,3/19/2017
1,Despacito - Remix,Luis Fonsi,1312589,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/22/2017
1,Bank Account,21 Savage,1161867,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,8/17/2017
1,Despacito - Remix,Luis Fonsi,1682397,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,6/11/2017
1,Shape of You,Ed Sheeran,1425527,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2/19/2017
1,Shape of You,Ed Sheeran,1575915,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2/23/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1618538,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/12/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1591603,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/11/2017
1,HUMBLE.,Kendrick Lamar,2342270,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,5/13/2017
1,HUMBLE.,Kendrick Lamar,1838769,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,6/7/2017
1,rockstar,Post Malone,2127498,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/11/2017
1,Shape of You,Ed Sheeran,2060254,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,3/7/2017
1,XO TOUR Llif3,Lil Uzi Vert,1188531,https://open.spotify.com/track/2eMwDehkIC1j68U6FA3Eiq,7/24/2017
1,rockstar,Post Malone,2701582,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,9/25/2017
1,Shape of You,Ed Sheeran,1609218,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2/16/2017
1,Despacito - Remix,Luis Fonsi,1483823,https://open.spotify.com/track/5CtI0qwDJkDQGwXD1H1cLb,7/14/2017
1,HUMBLE.,Kendrick Lamar,2829933,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/25/2017
1,rockstar,Post Malone,1439533,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,12/27/2017
1,rockstar,Post Malone,2492069,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,10/12/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1442031,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/17/2017
1,rockstar,Post Malone,2348714,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R,10/9/2017
1,rockstar,Post Malone,1792183,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/27/2017
1,rockstar,Post Malone,2115843,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,11/8/2017
1,rockstar,Post Malone,2617333,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,10/18/2017
1,Look What You Made Me Do,Taylor Swift,1467029,https://open.spotify.com/track/6uFsE1JgZ20EXyU0JQZbUR,9/2/2017
1,rockstar,Post Malone,2375850,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,10/11/2017
1,HUMBLE.,Kendrick Lamar,1801260,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,3/31/2017
1,HUMBLE.,Kendrick Lamar,1945582,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,5/21/2017
1,Shape of You,Ed Sheeran,1551718,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,2/22/2017
1,rockstar,Post Malone,1328257,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,1/2/2018
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1284891,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/3/2017
1,HUMBLE.,Kendrick Lamar,2383878,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,5/11/2017
1,Bank Account,21 Savage,1170738,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,8/16/2017
1,HUMBLE.,Kendrick Lamar,3337001,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/17/2017
1,Bank Account,21 Savage,1092379,https://open.spotify.com/track/5eqK0tbzUPo2SoeZsov04s,8/6/2017
1,HUMBLE.,Kendrick Lamar,2476167,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,4/23/2017
1,rockstar,Post Malone,1346401,https://open.spotify.com/track/7wGoVu4Dady5GV0Sv4UIsx,12/26/2017
1,Unforgettable,French Montana,1177620,https://open.spotify.com/track/3B54sVLJ402zGa6Xm4YGNe,8/1/2017
1,Despacito (Featuring Daddy Yankee),Luis Fonsi,2537245,https://open.spotify.com/track/4aWmUDTfIPGksMNLV2rQP2,5/27/2017
1,Bad and Boujee (feat. Lil Uzi Vert),Migos,1497676,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,1/30/2017
